"DRXFDCD","DRXFCSD","DRXFCLD"
11553120,"FRUIT SMOOTHIE, WITH WHOLE FRUIT AND DAIRY, ADDED PROTEIN","Fruit smoothie, with whole fruit and dairy, added protein"
11553130,"FRUIT SMOOTHIE JUICE DRINK, WITH DAIRY","Fruit smoothie juice drink, with dairy"
11560000,"CHOCOLATE MILK DRINK","Chocolate milk drink"
11710000,"INFANT FORMULA, NFS","Infant formula, NFS"
11710050,"INFANT FORMULA, NS AS TO FORM (SIMILAC EXPERT CARE ALIMENTUM","Infant formula, NS as to form (Similac Expert Care Alimentum)"
11710051,"INFANT FORMULA, READY-TO-FEED (SIMILAC EXPERT CARE ALIMENTUM","Infant formula, ready-to-feed (Similac Expert Care Alimentum)"
11710053,"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (SIMILAC EXPERT","Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)"
11710054,"INFANT FORMULA, POWDER, MADE WITH TAP WATER (SIMILAC EXPERT","Infant formula, powder, made with tap water (Similac Expert Care Alimentum)"
11710055,"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (SIMIL","Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)"
11710056,"INFANT FORMULA, POWDER, MADE WITH BABY WATER (SIMILAC EXPERT","Infant formula, powder, made with baby water (Similac Expert Care Alimentum)"
11710350,"INFANT FORMULA, NS AS TO FORM (SIMILAC ADVANCE)","Infant formula, NS as to form (Similac Advance)"
11710351,"INFANT FORMULA, READY-TO-FEED (SIMILAC ADVANCE)","Infant formula, ready-to-feed (Similac Advance)"
11710352,"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH WATER, NFS (SI","Infant formula, liquid concentrate, made with water, NFS (Similac Advance)"
11710353,"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (SIMILAC ADVANC","Infant formula, powder, made with water, NFS (Similac Advance)"
11710354,"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH TAP WATER (SIM","Infant formula, liquid concentrate, made with tap water (Similac Advance)"
11710355,"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH PLAIN BOTTLED","Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)"
11710356,"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH BABY WATER (SI","Infant formula, liquid concentrate, made with baby water (Similac Advance)"
11710357,"INFANT FORMULA, POWDER, MADE WITH TAP WATER (SIMILAC ADVANCE","Infant formula, powder, made with tap water (Similac Advance)"
11710358,"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (SIMIL","Infant formula, powder, made with plain bottled water (Similac Advance)"
11710359,"INFANT FORMULA, POWDER, MADE WITH BABY WATER (SIMILAC ADVANC","Infant formula, powder, made with baby water (Similac Advance)"
11710360,"INFANT FORMULA, NS AS TO FORM (SIMILAC ADVANCE ORGANIC)","Infant formula, NS as to form (Similac Advance Organic)"
11710361,"INFANT FORMULA, READY-TO-FEED (SIMILAC ADVANCE ORGANIC)","Infant formula, ready-to-feed (Similac Advance Organic)"
11710363,"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (SIMILAC ADVANC","Infant formula, powder, made with water, NFS (Similac Advance Organic)"
11710367,"INFANT FORMULA, POWDER, MADE WITH TAP WATER (SIMILAC ADVANCE","Infant formula, powder, made with tap water (Similac Advance Organic)"
11710368,"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (SIMIL","Infant formula, powder, made with plain bottled water (Similac Advance Organic)"
11710369,"INFANT FORMULA, POWDER, MADE WITH BABY WATER (SIMILAC ADVANC","Infant formula, powder, made with baby water (Similac Advance Organic)"
11710370,"INFANT FORMULA, NS AS TO FORM (SIMILAC SENSITIVE)","Infant formula, NS as to form (Similac Sensitive)"
11710371,"INFANT FORMULA, READY-TO-FEED (SIMILAC SENSITIVE)","Infant formula, ready-to-feed (Similac Sensitive)"
11710372,"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH WATER, NFS (SI","Infant formula, liquid concentrate, made with water, NFS (Similac Sensitive)"
11710373,"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (SIMILAC SENSIT","Infant formula, powder, made with water, NFS (Similac Sensitive)"
11710374,"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH TAP WATER (SIM","Infant formula, liquid concentrate, made with tap water (Similac Sensitive)"
11710375,"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH PLAIN BOTTLED","Infant formula, liquid concentrate, made with plain bottled water (Similac Sensitive)"
11710376,"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH BABY WATER (SI","Infant formula, liquid concentrate, made with baby water (Similac Sensitive)"
11710377,"INFANT FORMULA, POWDER, MADE WITH TAP WATER (SIMILAC SENSITI","Infant formula, powder, made with tap water (Similac Sensitive)"
11710378,"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (SIMIL","Infant formula, powder, made with plain bottled water (Similac Sensitive)"
11710379,"INFANT FORMULA, POWDER, MADE WITH BABY WATER (SIMILAC SENSIT","Infant formula, powder, made with baby water (Similac Sensitive)"
11710380,"INFANT FORMULA, NS AS TO FORM (SIMILAC FOR SPIT-UP)","Infant formula, NS as to form (Similac for Spit-Up)"
11710381,"INFANT FORMULA, READY-TO-FEED (SIMILAC FOR SPIT-UP)","Infant formula, ready-to-feed (Similac for Spit-Up)"
11710383,"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (SIMILAC FOR SP","Infant formula, powder, made with water, NFS (Similac for Spit-Up)"
11710470,"INFANT FORMULA, NS AS TO FORM (SIMILAC EXPERT CARE NEOSURE)","Infant formula, NS as to form (Similac Expert Care NeoSure)"
11710471,"INFANT FORMULA, READY-TO-FEED (SIMILAC EXPERT CARE NEOSURE)","Infant formula, ready-to-feed (Similac Expert Care NeoSure)"
11710473,"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (SIMILAC EXPERT","Infant formula, powder, made with water, NFS (Similac Expert Care NeoSure)"
11710477,"INFANT FORMULA, POWDER, MADE WITH TAP WATER (SIMILAC EXPERT","Infant formula, powder, made with tap water (Similac Expert Care NeoSure)"
11710478,"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (SIMIL","Infant formula, powder, made with plain bottled water (Similac Expert Care NeoSure)"
11710479,"INFANT FORMULA, POWDER, MADE WITH BABY WATER (SIMILAC EXPERT","Infant formula, powder, made with baby water (Similac Expert Care NeoSure)"
11710480,"INFANT FORMULA, NS AS TO FORM (SIMILAC GO AND GROW)","Infant formula, NS as to form (Similac Go and Grow)"
11710481,"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (SIMILAC GO AND","Infant formula, powder, made with water, NFS (Similac Go and Grow)"
11710620,"INFANT FORMULA, NS AS TO FORM (ENFAMIL NEWBORN)","Infant formula, NS as to form (Enfamil Newborn)"
11710621,"INFANT FORMULA, READY-TO-FEED (ENFAMIL NEWBORN)","Infant formula, ready-to-feed (Enfamil Newborn)"
