"DRXFDCD","DRXFCSD","DRXFCLD"
91703400,"WHATCHAMACALLIT","Whatchamacallit"
91703500,"NUTS, CAROB-COATED","Nuts, carob-coated"
91703600,"ESPRESSO COFFEE BEANS, CHOCOLATE-COVERED","Espresso coffee beans, chocolate-covered"
91705010,"MILK CHOCOLATE CANDY, PLAIN","Milk chocolate candy, plain"
91705020,"MILK CHOCOLATE CANDY, WITH CEREAL","Milk chocolate candy, with cereal"
91705030,"KIT KAT","Kit Kat"
91705040,"CHOCOLATE, MILK, WITH NUTS, NOT ALMOND OR PEANUTS","Chocolate, milk, with nuts, not almond or peanuts"
91705050,"MILK CHOCOLATE CANDY, WITH FRUIT AND NUTS","Milk chocolate candy, with fruit and nuts"
91705060,"MILK CHOCOLATE CANDY, WITH ALMONDS","Milk chocolate candy, with almonds"
91705070,"CHOCOLATE, MILK, WITH PEANUTS","Chocolate, milk, with peanuts"
91705090,"CHOCOLATE CANDY WITH FONDANT AND CARAMEL","Chocolate candy with fondant and caramel"
91705200,"CHOCOLATE, SEMI-SWEET MORSEL","Chocolate, semi-sweet morsel"
91705300,"CHOCOLATE, SWEET OR DARK","Chocolate, sweet or dark"
91705310,"CHOCOLATE, SWEET OR DARK, WITH ALMONDS","Chocolate, sweet or dark, with almonds"
91705400,"CHOCOLATE, WHITE","Chocolate, white"
91705410,"CHOCOLATE, WHITE, WITH ALMONDS","Chocolate, white, with almonds"
91705420,"CHOCOLATE, WHITE, WITH CEREAL","Chocolate, white, with cereal"
91705430,"KIT KAT WHITE","Kit Kat White"
91705500,"MEXICAN CHOCOLATE, TABLET","Mexican chocolate, tablet"
91706000,"COCONUT CANDY, CHOCOLATE COVERED","Coconut candy, chocolate covered"
91706100,"COCONUT CANDY, NO CHOCOLATE COVERING","Coconut candy, no chocolate covering"
91706400,"COCONUT CANDY, PUERTO RICAN STYLE","Coconut candy, Puerto Rican style"
91707000,"FONDANT","Fondant"
91707010,"FONDANT, CHOCOLATE COVERED","Fondant, chocolate covered"
91708000,"FRUIT PEEL, CANDIED","Fruit peel, candied"
91708010,"DATE CANDY","Date candy"
91708020,"SOFT FRUIT CONFECTIONS","Soft fruit confections"
91708030,"FRUIT LEATHER AND FRUIT SNACKS CANDY","Fruit leather and fruit snacks candy"
91708040,"FUN FRUITS CREME SUPREMES","Fun Fruits Creme Supremes"
91708070,"TAMARIND CANDY","Tamarind candy"
91708100,"FRUIT SNACKS CANDY, WITH HIGH VITAMIN C","Fruit snacks candy, with high vitamin C"
91708150,"YOGURT COVERED FRUIT SNACKS CANDY, WITH ADDED VITAMIN C","Yogurt covered fruit snacks candy, with added vitamin C"
91708160,"YOGURT COVERED FRUIT SNACKS CANDY ROLLS, WITH HIGH VITAMIN C","Yogurt covered fruit snacks candy rolls, with high vitamin C"
91709000,"GUMDROPS, CHOCOLATE COVERED","Gumdrops, chocolate covered"
91713010,"FUDGE, CHOCOLATE, CHOCOLATE-COATED","Fudge, chocolate, chocolate-coated"
91713020,"FUDGE, CHOCOLATE, CHOCOLATE-COATED, WITH NUTS","Fudge, chocolate, chocolate-coated, with nuts"
91713030,"FUDGE, CHOCOLATE","Fudge, chocolate"
91713040,"FUDGE, CHOCOLATE, WITH NUTS","Fudge, chocolate, with nuts"
91713050,"FUDGE, PEANUT BUTTER","Fudge, peanut butter"
91713060,"FUDGE, PEANUT BUTTER, WITH NUTS","Fudge, peanut butter, with nuts"
91713070,"FUDGE, VANILLA","Fudge, vanilla"
91713080,"FUDGE, VANILLA, WITH NUTS","Fudge, vanilla, with nuts"
91713090,"FUDGE, DIVINITY","Fudge, divinity"
91713100,"FUDGE, BROWN SUGAR, PENUCHE","Fudge, brown sugar, penuche"
91715000,"FUDGE, CARAMEL AND NUT, CHOCOLATE-COATED CANDY","Fudge, caramel and nut, chocolate-coated candy"
91715100,"SNICKERS BAR","SNICKERS Bar"
91715200,"BABY RUTH","Baby Ruth"
91715300,"100 GRAND BAR","100 GRAND Bar"
91716010,"HALVAH, PLAIN","Halvah, plain"
91716110,"HALVAH, CHOCOLATE COVERED","Halvah, chocolate covered"
91718000,"HONEY-COMBED HARD CANDY WITH PEANUT BUTTER","Honey-combed hard candy with peanut butter"
91718050,"HONEY-COMBED HARD CANDY WITH PEANUT BUTTER, CHOCOLATE COVERE","Honey-combed hard candy with peanut butter, chocolate covered"
91718100,"BUTTERFINGER","Butterfinger"
91718110,"BUTTERFINGER CRISP","Butterfinger Crisp"
91718200,"CHOCOLATE-FLAVORED SPRINKLES","Chocolate-flavored sprinkles"
91718300,"LADOO, ROUND BALL, ASIAN-INDIAN DESSERT","Ladoo, round ball, Asian-Indian dessert"
91721000,"LICORICE","Licorice"
91723000,"MARSHMALLOW","Marshmallow"
91723010,"MARSHMALLOW, CHOCOLATE COVERED","Marshmallow, chocolate covered"
91723020,"MARSHMALLOW, CANDY-COATED","Marshmallow, candy-coated"
91726000,"NOUGAT, PLAIN","Nougat, plain"
91726110,"NOUGAT, WITH CARAMEL, CHOCOLATE COVERED","Nougat, with caramel, chocolate covered"
91726130,"MILKY WAY BAR","MILKY WAY Bar"
91726140,"MILKY WAY MIDNIGHT BAR","MILKY WAY MIDNIGHT Bar"
91726150,"MARS ALMOND BAR","MARS Almond Bar"
91726410,"NOUGAT, CHOCOLATE COVERED","Nougat, chocolate covered"
91726420,"3 MUSKETEERS BAR","3 MUSKETEERS Bar"
91726425,"3 MUSKETEERS TRUFFLE CRISP BAR","3 Musketeers Truffle Crisp Bar"
91727010,"NUTS, CHOCOLATE COVERED, NOT ALMONDS OR PEANUTS","Nuts, chocolate covered, not almonds or peanuts"
91728000,"NUT ROLL, FUDGE OR NOUGAT, CARAMEL AND NUTS","Nut roll, fudge or nougat, caramel and nuts"
91728500,"SUGARED PECANS, SUGAR AND EGG WHITE COATING","Sugared pecans, sugar and egg white coating"
91731000,"PEANUTS, CHOCOLATE COVERED","Peanuts, chocolate covered"
91731010,"M&M'S PEANUT CHOCOLATE CANDIES","M&M's Peanut Chocolate Candies"
91731060,"M&M'S PEANUT BUTTER CHOCOLATE CANDIES","M&M's Peanut Butter Chocolate Candies"
91731100,"PEANUTS, SUGAR-COATED","Peanuts, sugar-coated"
91731150,"PEANUTS, YOGURT COVERED","Peanuts, yogurt covered"
91732000,"PEANUT BAR","Peanut bar"
91732100,"PLANTERS PEANUT BAR","Planters Peanut Bar"
91733000,"PEANUT BRITTLE","Peanut brittle"
91733200,"PEANUT BAR, CHOCOLATE COVERED CANDY","Peanut Bar, chocolate covered candy"
91734000,"PEANUT BUTTER, CHOCOLATE COVERED","Peanut butter, chocolate covered"
91734100,"REESE'S PEANUT BUTTER CUP","Reese's Peanut Butter Cup"
91734200,"REESE'S PIECES","Reese's Pieces"
91734300,"REESE'S STICKS","Reese's Sticks"
91734400,"REESE'S FAST BREAK","Reese's Fast Break"
91734450,"REESE'S CRISPY CRUNCHY BAR","Reese's Crispy Crunchy Bar"
91734500,"PEANUT BUTTER MORSELS","Peanut butter morsels"
91735000,"PRALINES","Pralines"
91736000,"PINEAPPLE CANDY, PUERTO RICAN STYLE","Pineapple candy, Puerto Rican style"
91739010,"RAISINS, CHOCOLATE COVERED","Raisins, chocolate covered"
91739600,"RAISINS, YOGURT COVERED","Raisins, yogurt covered"
91742010,"SESAME CRUNCH, SAHADI","Sesame Crunch, Sahadi"
91745010,"GUMDROPS","Gumdrops"
91745020,"HARD CANDY","Hard candy"
91745040,"BUTTERSCOTCH HARD CANDY","Butterscotch hard candy"
91745100,"SKITTLES","Skittles"
91746010,"SUGAR-COATED CHOCOLATE DISCS","Sugar-coated chocolate discs"
91746100,"M&M'S MILK CHOCOLATE CANDIES","M&M's Milk Chocolate Candies"
91746120,"SIXLETS","Sixlets"
91746150,"EASTER EGG, CANDY COATED CHOCOLATE","Easter egg, candy coated chocolate"
91746200,"M&M'S PRETZEL CHOCOLATE CANDIES","M&M's Pretzel Chocolate Candies"
91750000,"TAFFY","Taffy"
91760000,"TOFFEE, PLAIN","Toffee, plain"
91760100,"TOFFEE, CHOCOLATE COVERED","Toffee, chocolate covered"
91760200,"TOFFEE, CHOCOLATE-COATED, WITH NUTS","Toffee, chocolate-coated, with nuts"
91760500,"TRUFFLES","Truffles"
91760700,"WAX CANDY, LIQUID FILLED","Wax candy, liquid filled"
91770000,"DIETETIC OR LOW CALORIE CANDY, NFS","Dietetic or low calorie candy, NFS"
91770010,"DIETETIC OR LOW CALORIE GUMDROPS","Dietetic or low calorie gumdrops"
91770020,"DIETETIC OR LOW CALORIE HARD CANDY","Dietetic or low calorie hard candy"
91770030,"DIETETIC OR LOW CALORIE CANDY, CHOCOLATE COVERED","Dietetic or low calorie candy, chocolate covered"
91770050,"DIETETIC OR LOW CALORIE MINTS","Dietetic or low calorie mints"
91800100,"CHEWING GUM, NFS","Chewing gum, NFS"
91801000,"CHEWING GUM, REGULAR","Chewing gum, regular"
91802000,"CHEWING GUM, SUGAR FREE","Chewing gum, sugar free"
92100000,"COFFEE, NS AS TO TYPE","Coffee, NS as to type"
92100500,"COFFEE, NS AS TO BREWED OR INSTANT","Coffee, NS as to brewed or instant"
92101000,"COFFEE, BREWED","Coffee, brewed"
92101500,"COFFEE, BREWED, BLEND OF REGULAR AND DECAFFEINATED","Coffee, brewed, blend of regular and decaffeinated"
92101600,"COFFEE, TURKISH","Coffee, Turkish"
92101610,"COFFEE, ESPRESSO","Coffee, espresso"
92101630,"COFFEE, ESPRESSO, DECAFFEINATED","Coffee, espresso, decaffeinated"
92101700,"COFFEE, BREWED, FLAVORED","Coffee, brewed, flavored"
92101800,"COFFEE, CUBAN","Coffee, Cuban"
92101810,"COFFEE, MACCHIATO","Coffee, macchiato"
92101820,"COFFEE, MACCHIATO, SWEETENED","Coffee, macchiato, sweetened"
92101850,"COFFEE, CAFE CON LECHE","Coffee, cafe con leche"
92101851,"COFFEE, CAFE CON LECHE, DECAFFEINATED","Coffee, cafe con leche, decaffeinated"
92101900,"COFFEE, LATTE","Coffee, Latte"
92101901,"COFFEE, LATTE, NONFAT","Coffee, Latte, nonfat"
92101903,"COFFEE, LATTE, WITH NON-DAIRY MILK","Coffee, Latte, with non-dairy milk"
92101904,"COFFEE, LATTE, FLAVORED","Coffee, Latte, flavored"
92101905,"COFFEE, LATTE, NONFAT, FLAVORED","Coffee, Latte, nonfat, flavored"
92101906,"COFFEE, LATTE, WITH NON-DAIRY MILK, FLAVORED","Coffee, Latte, with non-dairy milk, flavored"
92101910,"COFFEE, LATTE, DECAFFEINATED","Coffee, Latte, decaffeinated"
92101911,"COFFEE, LATTE, DECAFFEINATED, NONFAT","Coffee, Latte, decaffeinated, nonfat"
92101913,"COFFEE, LATTE, DECAFFEINATED, WITH NON-DAIRY MILK","Coffee, Latte, decaffeinated, with non-dairy milk"
92101917,"COFFEE, LATTE, DECAFFEINATED, FLAVORED","Coffee, Latte, decaffeinated, flavored"
92101918,"COFFEE, LATTE, DECAFFEINATED, NONFAT, FLAVORED","Coffee, Latte, decaffeinated, nonfat, flavored"
92101919,"COFFEE, LATTE, DECAFFEINATED, WITH NON-DAIRY MILK, FLAVORED","Coffee, Latte, decaffeinated, with non-dairy milk, flavored"
92101920,"FROZEN COFFEE DRINK","Frozen coffee drink"
92101921,"FROZEN COFFEE DRINK, NONFAT","Frozen coffee drink, nonfat"
92101923,"FROZEN COFFEE DRINK, WITH NON-DAIRY MILK","Frozen coffee drink, with non-dairy milk"
92101925,"FROZEN COFFEE DRINK, WITH WHIPPED CREAM","Frozen coffee drink, with whipped cream"
92101926,"FROZEN COFFEE DRINK, NONFAT, WITH WHIPPED CREAM","Frozen coffee drink, nonfat, with whipped cream"
92101928,"FROZEN COFFEE DRINK, WITH NON-DAIRY MILK AND WHIPPED CREAM","Frozen coffee drink, with non-dairy milk and whipped cream"
92101930,"FROZEN COFFEE DRINK, DECAFFEINATED","Frozen coffee drink, decaffeinated"
92101931,"FROZEN COFFEE DRINK, DECAFFEINATED, NONFAT","Frozen coffee drink, decaffeinated, nonfat"
92101933,"FROZEN COFFEE DRINK, DECAFFEINATED, WITH NON-DAIRY MILK","Frozen coffee drink, decaffeinated, with non-dairy milk"
92101935,"FROZEN COFFEE DRINK, DECAFFEINATED, WITH WHIPPED CREAM","Frozen coffee drink, decaffeinated, with whipped cream"
92101936,"FROZEN COFFEE DRINK, DECAFFEINATED, NONFAT, WITH WHIPPED CRE","Frozen coffee drink, decaffeinated, nonfat, with whipped cream"
92101938,"FROZEN COFFEE DRINK, DECAFFEINATED, WITH NON-DAIRY MILK AND","Frozen coffee drink, decaffeinated, with non-dairy milk and whipped cream"
92101950,"COFFEE, CAFE MOCHA","Coffee, Cafe Mocha"
92101955,"COFFEE, CAFE MOCHA, NONFAT","Coffee, Cafe Mocha, nonfat"
92101960,"COFFEE, CAFE MOCHA, WITH NON-DAIRY MILK","Coffee, Cafe Mocha, with non-dairy milk"
92101965,"COFFEE, CAFE MOCHA, DECAFFEINATED","Coffee, Cafe Mocha, decaffeinated"
92101970,"COFFEE, CAFE MOCHA, DECAFFEINATED, NONFAT","Coffee, Cafe Mocha, decaffeinated, nonfat"
92101975,"COFFEE, CAFE MOCHA, DECAFFEINATED, WITH NON-DAIRY MILK","Coffee, Cafe Mocha, decaffeinated, with non-dairy milk"
92102000,"FROZEN MOCHA COFFEE DRINK","Frozen mocha coffee drink"
92102010,"FROZEN MOCHA COFFEE DRINK, NONFAT","Frozen mocha coffee drink, nonfat"
92102020,"FROZEN MOCHA COFFEE DRINK, WITH NON-DAIRY MILK","Frozen mocha coffee drink, with non-dairy milk"
92102030,"FROZEN MOCHA COFFEE DRINK, WITH WHIPPED CREAM","Frozen mocha coffee drink, with whipped cream"
92102040,"FROZEN MOCHA COFFEE DRINK, NONFAT, WITH WHIPPED CREAM","Frozen mocha coffee drink, nonfat, with whipped cream"
92102050,"FROZEN MOCHA COFFEE DRINK, WITH NON-DAIRY MILK AND WHIPPED C","Frozen mocha coffee drink, with non-dairy milk and whipped cream"
92102060,"FROZEN MOCHA COFFEE DRINK, DECAFFEINATED","Frozen mocha coffee drink, decaffeinated"
92102070,"FROZEN MOCHA COFFEE DRINK, DECAFFEINATED, NONFAT","Frozen mocha coffee drink, decaffeinated, nonfat"
92102080,"FROZEN MOCHA COFFEE DRINK, DECAFFEINATED, WITH NON-DAIRY MIL","Frozen mocha coffee drink, decaffeinated, with non-dairy milk"
92102090,"FROZEN MOCHA COFFEE DRINK, DECAFFEINATED, WITH WHIPPED CREAM","Frozen mocha coffee drink, decaffeinated, with whipped cream"
92102100,"FROZEN MOCHA COFFEE DRINK, DECAFFEINATED, NONFAT, WITH WHIPP","Frozen mocha coffee drink, decaffeinated, nonfat, with whipped cream"
92102110,"FROZEN MOCHA COFFEE DRINK, DECAFFEINATED, WITH NON-DAIRY MIL","Frozen mocha coffee drink, decaffeinated, with non-dairy milk and whipped cream"
92102400,"ICED COFFEE, BREWED","Iced Coffee, brewed"
92102401,"ICED COFFEE, BREWED, DECAFFEINATED","Iced Coffee, brewed, decaffeinated"
92102450,"ICED COFFEE, PRE-LIGHTENED AND PRE-SWEETENED","Iced Coffee, pre-lightened and pre-sweetened"
92102500,"COFFEE, ICED LATTE","Coffee, Iced Latte"
92102501,"COFFEE, ICED LATTE, NONFAT","Coffee, Iced Latte, nonfat"
92102502,"COFFEE, ICED LATTE, WITH NON-DAIRY MILK","Coffee, Iced Latte, with non-dairy milk"
92102503,"COFFEE, ICED LATTE, FLAVORED","Coffee, Iced Latte, flavored"
92102504,"COFFEE, ICED LATTE, NONFAT, FLAVORED","Coffee, Iced Latte, nonfat, flavored"
92102505,"COFFEE, ICED LATTE, WITH NON-DAIRY MILK, FLAVORED","Coffee, Iced Latte, with non-dairy milk, flavored"
92102510,"COFFEE, ICED LATTE, DECAFFEINATED","Coffee, Iced Latte, decaffeinated"
92102511,"COFFEE, ICED LATTE, DECAFFEINATED, NONFAT","Coffee, Iced Latte, decaffeinated, nonfat"
92102512,"COFFEE, ICED LATTE, DECAFFEINATED, WITH NON-DAIRY MILK","Coffee, Iced Latte, decaffeinated, with non-dairy milk"
92102513,"COFFEE, ICED LATTE, DECAFFEINATED, FLAVORED","Coffee, Iced Latte, decaffeinated, flavored"
92102514,"COFFEE, ICED LATTE, DECAFFEINATED, NONFAT, FLAVORED","Coffee, Iced Latte, decaffeinated, nonfat, flavored"
92102515,"COFFEE, ICED LATTE, DECAFFEINATED, WITH NON-DAIRY MILK, FLAV","Coffee, Iced Latte, decaffeinated, with non-dairy milk, flavored"
92102600,"COFFEE, ICED CAFE MOCHA","Coffee, Iced Cafe Mocha"
92102601,"COFFEE, ICED CAFE MOCHA, NONFAT","Coffee, Iced Cafe Mocha, nonfat"
92102602,"COFFEE, ICED CAFE MOCHA, WITH NON-DAIRY MILK","Coffee, Iced Cafe Mocha, with non-dairy milk"
92102610,"COFFEE, ICED CAFE MOCHA, DECAFFEINATED","Coffee, Iced Cafe Mocha, decaffeinated"
92102611,"COFFEE, ICED CAFE MOCHA, DECAFFEINATED, NONFAT","Coffee, Iced Cafe Mocha, decaffeinated, nonfat"
92102612,"COFFEE, ICED CAFE MOCHA, DECAFFEINATED, WITH NON-DAIRY MILK","Coffee, Iced Cafe Mocha, decaffeinated, with non-dairy milk"
92103000,"COFFEE, INSTANT, RECONSTITUTED","Coffee, instant, reconstituted"
92104000,"COFFEE, INSTANT, 50% LESS CAFFEINE, RECONSTITUTED","Coffee, instant, 50% less caffeine, reconstituted"
92111000,"COFFEE, NS AS TO BREWED OR INSTANT, DECAFFEINATED","Coffee, NS as to brewed or instant, decaffeinated"
92111010,"COFFEE, BREWED, DECAFFEINATED","Coffee, brewed, decaffeinated"
92114000,"COFFEE, INSTANT, DECAFFEINATED, RECONSTITUTED","Coffee, instant, decaffeinated, reconstituted"
92121000,"COFFEE, INSTANT, PRE-LIGHTENED AND PRE-SWEETENED WITH SUGAR,","Coffee, instant, pre-lightened and pre-sweetened with sugar, reconstituted"
92121001,"COFFEE, INSTANT, DECAFFEINATED, PRE-LIGHTENED AND PRE-SWEETE","Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, reconsitituted"
92121010,"COFFEE, INSTANT, PRE-SWEETENED WITH SUGAR, RECONSTITUTED","Coffee, instant, pre-sweetened with sugar, reconstituted"
92121020,"COFFEE, MOCHA, INSTANT, PRE-LIGHTENED AND PRE-SWEETENED WITH","Coffee, mocha, instant, pre-lightened and pre-sweetened with sugar, reconstituted"
92121030,"COFFEE, MOCHA, INSTANT, PRE-LIGHTENED AND PRE-SWEETENED WITH","Coffee, mocha, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted"
92121040,"COFFEE, INSTANT, PRE-LIGHTENED AND PRE-SWEETENED WITH LOW CA","Coffee, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted"
92121041,"COFFEE, INSTANT, DECAFFEINATED, PRE-LIGHTENED AND PRE-SWEETE","Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted"
92121050,"COFFEE, MOCHA, INSTANT, DECAFFEINATED, PRE-LIGHTENED AND PRE","Coffee, mocha, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted"
92130000,"COFFEE, PRE-LIGHTENED AND PRE-SWEETENED WITH SUGAR","Coffee, pre-lightened and pre-sweetened with sugar"
92130001,"COFFEE, DECAFFEINATED, PRE-LIGHTENED AND PRE-SWEETENED WITH","Coffee, decaffeinated, pre-lightened and pre-sweetened with sugar"
92130005,"COFFEE, PRE-LIGHTENED AND PRE-SWEETENED WITH LOW CALORIE SWE","Coffee, pre-lightened and pre-sweetened with low calorie sweetener"
92130006,"COFFEE, DECAFFEINATED, PRE-LIGHTENED AND PRE-SWEETENED WITH","Coffee, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener"
92130010,"COFFEE, PRE-LIGHTENED","Coffee, pre-lightened"
92130011,"COFFEE, DECAFFEINATED, PRE-LIGHTENED","Coffee, decaffeinated, pre-lightened"
92130020,"COFFEE, PRE-SWEETENED WITH SUGAR","Coffee, pre-sweetened with sugar"
92130021,"COFFEE, DECAFFEINATED, PRE-SWEETENED WITH SUGAR","Coffee, decaffeinated, pre-sweetened with sugar"
92130030,"COFFEE, PRE-SWEETENED WITH LOW CALORIE SWEETENER","Coffee, pre-sweetened with low calorie sweetener"
92130031,"COFFEE, DECAFFEINATED, PRE-SWEETENED WITH LOW CALORIE SWEETE","Coffee, decaffeinated, pre-sweetened with low calorie sweetener"
92152000,"COFFEE AND CHICORY, BREWED","Coffee and chicory, brewed"
92152010,"COFFEE AND CHICORY, BREWED, DECAFFEINATED","Coffee and chicory, brewed, decaffeinated"
92161000,"COFFEE, CAPPUCCINO","Coffee, Cappuccino"
92161001,"COFFEE, CAPPUCCINO, NONFAT","Coffee, Cappuccino, nonfat"
92161002,"COFFEE, CAPPUCCINO, WITH NON-DAIRY MILK","Coffee, Cappuccino, with non-dairy milk"
92162000,"COFFEE, CAPPUCCINO, DECAFFEINATED","Coffee, Cappuccino, decaffeinated"
92162001,"COFFEE, CAPPUCCINO, DECAFFEINATED, NONFAT","Coffee, Cappuccino, decaffeinated, nonfat"
92162002,"COFFEE, CAPPUCCINO, DECAFFEINATED, WITH NON-DAIRY MILK","Coffee, Cappuccino, decaffeinated, with non-dairy milk"
92171000,"COFFEE, BOTTLED/CANNED","Coffee, bottled/canned"
92171010,"COFFEE, BOTTLED/CANNED, LIGHT","Coffee, bottled/canned, light"
92191100,"COFFEE, INSTANT, NOT RECONSTITUTED","Coffee, instant, not reconstituted"
92191105,"COFFEE, INSTANT, 50% LESS CAFFEINE, NOT RECONSTITUTED","Coffee, instant, 50% less caffeine, not reconstituted"
92191200,"COFFEE, INSTANT, DECAFFEINATED, NOT RECONSTITUTED","Coffee, instant, decaffeinated, not reconstituted"
92191400,"COFFEE, INSTANT, PRE-SWEETENED WITH SUGAR, NOT RECONSTITUTED","Coffee, instant, pre-sweetened with sugar, not reconstituted"
92192000,"COFFEE, MOCHA, INSTANT, PRE-LIGHTENED AND PRE-SWEETENED WITH","Coffee, mocha, instant, pre-lightened and pre-sweetened with sugar, not reconstituted"
92192030,"COFFEE, MOCHA, INSTANT, PRE-LIGHTENED AND PRE-SWEETENED WITH","Coffee, mocha, instant, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted"
92192040,"COFFEE, MOCHA, INSTANT, DECAFFEINATED, PRE-LIGHTENED AND PRE","Coffee, mocha, instant, decaffeinated, pre-lightened and pre-sweetend with low calorie sweetener, not reconstituted"
92193000,"COFFEE, INSTANT, PRE-LIGHTENED AND PRE-SWEETENED WITH SUGAR,","Coffee, instant, pre-lightened and pre-sweetened with sugar, not reconstituted"
92193005,"COFFEE, INSTANT, DECAFFEINATED, PRE-LIGHTENED AND PRE-SWEETE","Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, not reconstituted"
92193020,"COFFEE, INSTANT, PRE-LIGHTENED AND PRE-SWEETENED WITH LOW CA","Coffee, instant, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted"
92193025,"COFFEE, INSTANT, DECAFFEINATED, PRE-LIGHTENED AND PRE-SWEETE","Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted"
92201010,"COFFEE SUBSTITUTE","Coffee substitute"
92202010,"CHICORY BEVERAGE","Chicory beverage"
92203000,"CEREAL BEVERAGE","Cereal beverage"
92203110,"CEREAL BEVERAGE WITH BEET ROOTS, FROM POWDERED INSTANT","Cereal beverage with beet roots, from powdered instant"
92291300,"COFFEE SUBSTITUTE, DRY POWDER","Coffee substitute, dry powder"
92302000,"TEA, HOT, LEAF, BLACK","Tea, hot, leaf, black"
92302500,"TEA, HOT, LEAF, BLACK, DECAFFEINATED","Tea, hot, leaf, black, decaffeinated"
92303010,"TEA, HOT, LEAF, GREEN","Tea, hot, leaf, green"
92303100,"TEA, HOT, LEAF, GREEN, DECAFFEINATED","Tea, hot, leaf, green, decaffeinated"
92304100,"TEA, HOT, LEAF, OOLONG","Tea, hot, leaf, oolong"
92305010,"TEA, ICED, INSTANT, BLACK, UNSWEETENED","Tea, iced, instant, black, unsweetened"
92305040,"TEA, ICED, INSTANT, BLACK, PRE-SWEETENED WITH SUGAR","Tea, iced, instant, black, pre-sweetened with sugar"
92305050,"TEA, ICED, INSTANT, BLACK, DECAFFEINATED, PRE-SWEETENED WITH","Tea, iced, instant, black, decaffeinated, pre-sweetened with sugar"
92305090,"TEA, ICED, INSTANT, BLACK, PRE-SWEETENED WITH LOW CALORIE SW","Tea, iced, instant, black, pre-sweetened with low calorie sweetener"
92305110,"TEA, ICED, INSTANT, BLACK, DECAFFEINATED, PRE-SWEETENED WITH","Tea, iced, instant, black, decaffeinated, pre-sweetened with low calorie sweetener"
92305180,"TEA, ICED, INSTANT, BLACK, DECAFFEINATED, UNSWEETENED","Tea, iced, instant, black, decaffeinated, unsweetened"
92305900,"TEA, ICED, INSTANT, GREEN, UNSWEETENED","Tea, iced, instant, green, unsweetened"
92305910,"TEA, ICED, INSTANT, GREEN, PRE-SWEETENED WITH SUGAR","Tea, iced, instant, green, pre-sweetened with sugar"
92305920,"TEA, ICED, INSTANT, GREEN, PRE-SWEETENED WITH LOW CALORIE SW","Tea, iced, instant, green, pre-sweetened with low calorie sweetener"
92306000,"TEA, HOT, HERBAL","Tea, hot, herbal"
92306090,"TEA, HOT, HIBISCUS","Tea, hot, hibiscus"
92306100,"CORN BEVERAGE","Corn beverage"
92306700,"TEA, HOT, CHAMOMILE","Tea, hot, chamomile"
92306800,"TEA, HOT, CHAI, WITH MILK","Tea, hot, chai, with milk"
92307000,"TEA, ICED, INSTANT, BLACK, UNSWEETENED, DRY","Tea, iced, instant, black, unsweetened, dry"
92307400,"TEA, ICED, INSTANT, BLACK, PRE-SWEETENED, DRY","Tea, iced, instant, black, pre-sweetened, dry"
92307500,"ICED TEA / LEMONADE JUICE DRINK","Iced Tea / Lemonade juice drink"
92307510,"ICED TEA / LEMONADE JUICE DRINK, LIGHT","Iced Tea / Lemonade juice drink, light"
92307520,"ICED TEA / LEMONADE JUICE DRINK, DIET","Iced Tea / Lemonade juice drink, diet"
92308000,"TEA, ICED, BREWED, BLACK, PRE-SWEETENED WITH SUGAR","Tea, iced, brewed, black, pre-sweetened with sugar"
92308010,"TEA, ICED, BREWED, BLACK, PRE-SWEETENED WITH LOW CALORIE SWE","Tea, iced, brewed, black, pre-sweetened with low calorie sweetener"
92308020,"TEA, ICED, BREWED, BLACK, UNSWEETENED","Tea, iced, brewed, black, unsweetened"
92308030,"TEA, ICED, BREWED, BLACK, DECAFFEINATED, PRE-SWEETENED WITH","Tea, iced, brewed, black, decaffeinated, pre-sweetened with sugar"
92308040,"TEA, ICED, BREWED, BLACK, DECAFFEINATED, PRE-SWEETENED WITH","Tea, iced, brewed, black, decaffeinated, pre-sweetened with low calorie sweetener"
92308050,"TEA, ICED, BREWED, BLACK, DECAFFEINATED, UNSWEETENED","Tea, iced, brewed, black, decaffeinated, unsweetened"
92308500,"TEA, ICED, BREWED, GREEN, PRE-SWEETENED WITH SUGAR","Tea, iced, brewed, green, pre-sweetened with sugar"
92308510,"TEA, ICED, BREWED, GREEN, PRE-SWEETENED WITH LOW CALORIE SWE","Tea, iced, brewed, green, pre-sweetened with low calorie sweetener"
92308520,"TEA, ICED, BREWED, GREEN, UNSWEETENED","Tea, iced, brewed, green, unsweetened"
92308530,"TEA, ICED, BREWED, GREEN, DECAFFEINATED, PRE-SWEETENED WITH","Tea, iced, brewed, green, decaffeinated, pre-sweetened with sugar"
